kid_race,gender,count,kid_edu1,kid_edu2,kid_edu3,kid_edu4,par_edu1,par_edu2,par_edu3,par_edu4,kid_edu1_cond_par_edu1,kid_edu1_cond_par_edu2,kid_edu1_cond_par_edu3,kid_edu1_cond_par_edu4,kid_edu2_cond_par_edu1,kid_edu2_cond_par_edu2,kid_edu2_cond_par_edu3,kid_edu2_cond_par_edu4,kid_edu3_cond_par_edu1,kid_edu3_cond_par_edu2,kid_edu3_cond_par_edu3,kid_edu3_cond_par_edu4,kid_edu4_cond_par_edu1,kid_edu4_cond_par_edu2,kid_edu4_cond_par_edu3,kid_edu4_cond_par_edu4
White,F,397000,.0493,.1919,.3389,.4199,.07719,.3502,.3366,.236,.1777,.0557,.03602,.01693,.3496,.2714,.159,.06941,.3258,.3768,.3855,.2204,.1469,.2961,.4195,.6933
White,M,415000,.0746,.2887,.3267,.31,.0777,.3539,.3334,.235,.243,.08815,.05585,.02509,.4247,.3948,.2585,.127,.2361,.3202,.3851,.2834,.09607,.1969,.3006,.5644
White,P,812000,.0622,.2414,.3327,.3638,.07745,.3521,.335,.2355,.2112,.07236,.0461,.02109,.3881,.3347,.2096,.09877,.2799,.3478,.3853,.2525,.1209,.2452,.3591,.6276
Black,F,51500,.0978,.2423,.3891,.2707,.1653,.3309,.339,.1648,.1933,.1054,.07319,.03766,.3247,.3092,.1984,.1158,.3473,.3869,.4437,.3231,.1346,.1985,.2847,.5235
Black,M,50000,.1747,.3562,.3195,.1495,.1633,.3246,.3415,.1706,.3126,.1941,.1409,.07373,.3891,.4382,.3334,.2145,.227,.2698,.3759,.3898,.07124,.09789,.1499,.322
Black,P,101000,.1357,.2983,.3549,.2112,.1643,.3278,.3402,.1677,.2516,.1486,.1066,.0557,.3562,.372,.265,.1652,.2885,.3299,.4102,.3564,.1037,.1495,.2182,.4227
Asian,F,19000,.0376,.0938,.2462,.6223,.2239,.1999,.2199,.3562,.06692,.042,.03286,.01969,.13,.1427,.08843,.04699,.2843,.2762,.2935,.1762,.5187,.5391,.5852,.7571
Asian,M,22500,.0566,.1416,.2977,.5042,.235,.1987,.2176,.3488,.1128,.05735,.04354,.02652,.1906,.197,.1382,.07904,.3106,.2985,.3489,.2565,.3861,.4471,.4693,.638
Asian,P,41000,.0479,.1197,.2742,.5581,.2299,.1992,.2187,.3522,.09238,.05032,.03863,.02336,.1636,.1721,.1153,.06424,.2989,.2883,.3235,.2194,.4451,.4893,.5225,.693
Hispanic,F,58000,.1271,.2487,.3762,.248,.3939,.2629,.2347,.1085,.1942,.1032,.07686,.05002,.2929,.2887,.1895,.1193,.3536,.3828,.4338,.3176,.1593,.2253,.2999,.5131
Hispanic,M,58500,.1803,.3251,.3308,.1638,.4014,.2604,.2302,.108,.2642,.1528,.1154,.07279,.3571,.3813,.2706,.1868,.2824,.3277,.4072,.3554,.09626,.1382,.2069,.385
Hispanic,P,116000,.1538,.2871,.3533,.2057,.3977,.2616,.2324,.1082,.2297,.128,.09601,.06143,.3255,.335,.2298,.1531,.3175,.3553,.4205,.3365,.1274,.1817,.2536,.4489
AIAN,F,6400,.132,.3109,.4132,.1439,.1922,.3373,.3463,.1242,.2289,.1365,.09305,.07848,.3712,.3621,.2733,.1835,.3426,.3816,.4866,.4038,.05724,.1198,.1471,.3342
AIAN,M,6700,.1739,.42,.3098,.0962,.1858,.3348,.3513,.1281,.2961,.1688,.1378,.1092,.4749,.4836,.3851,.27,.1845,.2815,.377,.3815,.0445,.06601,.1001,.2394
AIAN,P,13000,.1535,.3667,.3604,.1195,.189,.336,.3489,.1262,.2627,.153,.1161,.0944,.4233,.424,.3308,.2284,.2631,.3307,.4302,.3922,.05083,.09239,.1229,.285
